id,session_id,created_at,updated_at
8ce81af0-c230-4afc-81d9-4f4e9a71b8d0,session_1762324309820_m2vmq4yd3,2025-11-05 06:31:50.021455+00,2025-11-05 06:31:50.021455+00
a4033a8a-a70e-4355-96f6-6cc3e0e959fe,session_1762324309943_hi6pkt8zf,2025-11-05 06:31:50.117342+00,2025-11-05 06:31:50.117342+00
a7ebfec7-4a15-4dad-b3eb-7a2181696002,session_1762324333705_gyzuerudv,2025-11-05 06:32:13.864582+00,2025-11-05 06:32:13.864582+00
c2189d75-9598-41a2-b627-941fda358a94,session_1762324333567_oaldvyjrx,2025-11-05 06:32:14.541554+00,2025-11-05 06:32:14.541554+00
6055969a-aa8e-4709-ae8e-5196bcbad499,session_1762325022999_yfihraecc,2025-11-05 06:43:43.091502+00,2025-11-05 06:43:43.091502+00
11497a92-2ca9-4ddd-9a7d-0ad488ca8290,session_1762325023180_xarecucue,2025-11-05 06:43:43.252582+00,2025-11-05 06:43:43.252582+00
d1fd29b9-3dcd-44dd-87a5-277ff89dffe2,session_1762325285351_g5jqex389,2025-11-05 06:48:05.459434+00,2025-11-05 06:48:05.459434+00
667df41e-a6c2-41a6-8f1f-9d921dd6cf8c,session_1762325285526_gl9icqdda,2025-11-05 06:48:05.621128+00,2025-11-05 06:48:05.621128+00
6f4fa39c-58d8-4c4f-98ea-7b497f32e60f,session_1762325436800_rn3dsl4ih,2025-11-05 06:50:36.908337+00,2025-11-05 06:50:36.908337+00
d2d468f1-cfee-4224-8576-bbaaddcc99bb,session_1762325436921_wxn3xiocj,2025-11-05 06:50:36.990084+00,2025-11-05 06:50:36.990084+00
