id,category,title,content,metadata,created_at,updated_at
9e7e143e-fad3-409e-862f-6a702121882a,basic_info,School Name,THE AARYANS,"{""type"":""name"",""tagline"":""Chariot of Knowledge""}",2025-11-05 06:31:49.843575+00,2025-11-05 06:31:49.843575+00
6c23cf6f-94e4-411e-90bb-b009d04f98f3,basic_info,School Description,"THE AARYANS, an institution of the Vedic Educational Trust, embraces traditional values while forging ahead on the ""Chariot of Knowledge"" to face the challenges of the world with courage and conviction. Founded on April 13, 2015, by visionaries Ch. Hatpal Singh & Sh. Anil Kumar Singh, on a peaceful, verdant campus.","{""type"":""description"",""founded"":""2015"",""location"":""Amroha"",""affiliation"":""CBSE""}",2025-11-05 06:31:49.843575+00,2025-11-05 06:31:49.843575+00
1ce7d4c1-56a6-4942-88fd-eb73b67e3fd9,basic_info,Vision,"Good Education is a journey, not a destination. THE AARYANS embraces traditional values while forging ahead on the ""Chariot of Knowledge"" to face the challenges of the world with courage and conviction.","{""type"":""vision""}",2025-11-05 06:31:49.843575+00,2025-11-05 06:31:49.843575+00
8a92e9c2-55d1-49d0-89a5-a2ffe132bbf8,basic_info,Mission,"We care for our values and belief and aim for a perfect balance of complementary factors: ancient and modern, traditional and innovative. The School aims to help students develop intellectual, emotional, social, physical, and spiritual potentials through state-of-the-art laboratories and holistic activities including yoga, meditation, athletics, and arts.","{""type"":""mission""}",2025-11-05 06:31:49.843575+00,2025-11-05 06:31:49.843575+00
1e79dc19-57ec-4d00-a1c5-06d27f04c9df,features,Experienced Staff,Trained and experienced educators dedicated to academic excellence and student development.,"{""icon"":""users""}",2025-11-05 06:31:49.843575+00,2025-11-05 06:31:49.843575+00
ef1b58fa-ee43-471e-b180-d3e07aef2870,features,CBSE Affiliation,"Affiliated with CBSE, New Delhi, following a career-oriented syllabus for comprehensive education.","{""icon"":""book""}",2025-11-05 06:31:49.843575+00,2025-11-05 06:31:49.843575+00
985358aa-21fd-40d4-ab20-c489cc2ce674,features,Holistic Development,"Activity-oriented education focusing on personality development, communication skills, and social growth.","{""icon"":""award""}",2025-11-05 06:31:49.843575+00,2025-11-05 06:31:49.843575+00
d15fe2f4-8f75-4ca2-b2b4-b8a81e92f19b,features,Sports Excellence,Comprehensive sports and games facilities promoting physical fitness and competitive spirit.,"{""icon"":""trophy""}",2025-11-05 06:31:49.843575+00,2025-11-05 06:31:49.843575+00
a6ff7579-9a09-4717-80b6-835ee77fdefd,facilities,Sports and Games,Comprehensive sports facilities with dedicated areas for various games and physical education activities.,"{}",2025-11-05 06:31:49.843575+00,2025-11-05 06:31:49.843575+00
b02975de-82b4-428a-8eba-02245e216b82,facilities,Library and Study Room,Well-stocked library with extensive collection of books and dedicated study areas for focused learning.,"{}",2025-11-05 06:31:49.843575+00,2025-11-05 06:31:49.843575+00
9e9bff7a-04b0-4bf8-81c4-8feafa545a96,facilities,Seminar and Workshop Spaces,"Modern facilities for conducting seminars, workshops, and interactive learning sessions.","{}",2025-11-05 06:31:49.843575+00,2025-11-05 06:31:49.843575+00
